OutfitId,OutfitSet,OutfitUrl
17858226,"['黑色outerwear', '橙色top', '白色top']",https://wear.tw/genji/17858226/
17858140,"['橙色top', '白色top', '白色pants']",https://wear.tw/genji/17858140/
17828769,"['白色top', '黑色outerwear']",https://wear.tw/genji/17828769/
17828683,['黑色top'],https://wear.tw/genji/17828683/
17828535,"['橙色outerwear', '橙色top', '白色top', '白色pants']",https://wear.tw/genji/17828535/
17828418,"['綠色top', '白色top', '白色pants']",https://wear.tw/genji/17828418/
17807440,"['黑色outerwear', '白色top']",https://wear.tw/genji/17807440/
17807328,"['綠色top', '黑色top', '橘色pants']",https://wear.tw/genji/17807328/
17807137,"['橘色top', '白色top', '白色pants']",https://wear.tw/genji/17807137/
17778930,"['橙色outerwear', '橘色top']",https://wear.tw/genji/17778930/
17778293,"['橙色outerwear', '橘色top', '白色top', '綠色pants']",https://wear.tw/genji/17778293/
17778163,"['綠色outerwear', '橙色top', '白色top']",https://wear.tw/genji/17778163/
17749502,"['橘色top', '綠色top', '白色pants']",https://wear.tw/genji/17749502/
17749364,"['白色top', '白色top', '黑色pants']",https://wear.tw/genji/17749364/
17749279,"['橙色outerwear', '白色top', '綠色top', '黑色pants']",https://wear.tw/genji/17749279/
17727943,"['橘色outerwear', '灰色top']",https://wear.tw/genji/17727943/
17727834,"['綠色top', '白色top', '白色pants']",https://wear.tw/genji/17727834/
17727727,"['灰色top', '橘色outerwear']",https://wear.tw/genji/17727727/
17727578,"['白色top', '灰色top', '橙色pants']",https://wear.tw/genji/17727578/
17714265,"['藍色outerwear', '白色top', '橘色pants']",https://wear.tw/genji/17714265/
17714161,"['橘色outerwear', '白色top']",https://wear.tw/genji/17714161/
17714047,"['橘色top', '白色top', '黑色pants']",https://wear.tw/genji/17714047/
17672480,"['橙色outerwear', '黑色top', '橘色pants']",https://wear.tw/genji/17672480/
17672311,"['橙色top', '橘色top', '白色pants']",https://wear.tw/genji/17672311/
17672236,"['橘色top', '綠色top', '綠色pants']",https://wear.tw/genji/17672236/
17672106,"['白色top', '白色top', '橙色pants']",https://wear.tw/genji/17672106/
17658924,"['白色top', '白色top', '橘色pants']",https://wear.tw/genji/17658924/
17658840,"['橘色top', '橘色outerwear']",https://wear.tw/genji/17658840/
17631283,"['橙色top', '橘色top', '白色top', '黑色pants']",https://wear.tw/genji/17631283/
17631209,"['橙色top', '白色top', '白色pants']",https://wear.tw/genji/17631209/
17631134,"['黑色outerwear', '橙色top', '白色top']",https://wear.tw/genji/17631134/
17630981,"['橙色outerwear', '灰色top', '白色pants']",https://wear.tw/genji/17630981/
17618417,"['綠色top', '綠色pants']",https://wear.tw/genji/17618417/
17635152,"['白色top', '白色top']",https://wear.tw/genji/17635152/
17618086,"['灰色outerwear', '橘色top', '橘色top']",https://wear.tw/genji/17618086/
17585465,"['橘色top', '白色top', '橘色pants']",https://wear.tw/genji/17585465/
